Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Problem_Type,Category
High School Reading,38.0,3.0,46.0,-93.0,250.0,1418,False,19.0,True,['Apr'],18.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,24.0,2.0,45.0,9.0,20.0,On Track (Low Util),High School
ASVAB,1.0,3.0,2.0,104.0,-10.0,49,True,19.0,True,['Apr'],19.0,2.0,1.0,1.0,2.0,3.0,5.0,5.0,2.0,1.0,1.0,2.0,3.0,5.0,5.0,,2.0,1.0,0.0,0.0,Possible Placement Issue,Test Prep
Piano,5.0,2.0,6.0,-64.0,21.0,277,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,0.0,0.0,On Track (Low Util),Arts & Music
AP World History,5.0,2.0,6.0,-49.0,16.0,196,False,17.0,True,['Apr'],16.0,2.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,3.0,5.0,2.0,40.0,On Track (Low Util),AP
Microeconomics,2.0,2.0,2.0,-14.0,2.0,117,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,50.0,On Track,College
French 2,3.0,3.0,4.0,-14.0,3.0,117,False,18.0,False,,18.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0,2.0,2.0,1.0,50.0,On Track,Language
Linear Algebra,6.0,2.0,7.0,-60.0,25.0,247,False,17.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,33.0,On Track (Low Util),College
Psychology,16.0,2.0,19.0,-87.0,96.0,788,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,15.0,2.0,21.0,4.0,19.0,On Track (Low Util),College
English Grammar and Syntax,54.0,3.0,64.0,-95.0,356.0,2081,False,18.0,True,['Apr'],19.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0,3.0,3.0,12.0,2.0,38.0,7.0,18.0,On Track (Low Util),High School
Competition Math,3.0,3.0,4.0,-14.0,3.0,117,False,18.0,True,['Apr'],18.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,0.0,0.0,On Track (Low Util),High School
Mechanical Engineering,2.0,3.0,3.0,33.0,-5.0,75,True,21.0,True,['Apr'],17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,6.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,2.0,3.0,1.0,33.0,Possible Placement Issue,College
