Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,Problem_Type,Category
Electronics,1.0,1.0,1.0,43.0,-3.0,70,True,10.0,False,,10.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,42.0,36.0,86.0,,85.7,,,0.0,0.0,True Supply Problem,Other
Inorganic Chemistry,2.0,1.0,2.0,-43.0,6.0,175,False,8.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,77.0,66.0,100.0,100.0,85.3,up,14.7,2.0,2.0,On Track,College
Architecture,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,33.0,24.0,75.0,75.0,72.4,flat,2.6,4.0,3.0,On Track,Other
CPCE,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,11.0,9.0,82.0,,81.8,,,0.0,0.0,On Track,Other
Civil Procedure,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,27.0,20.0,100.0,100.0,73.1,up,26.9,1.0,1.0,On Track,College
Painting,6.0,1.0,7.0,-83.0,35.0,600,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,132.0,95.0,33.0,33.3,74.8,down,-41.5,9.0,3.0,On Track (Low Util),Arts & Music
Managerial Economics,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,45.0,38.0,0.0,0.0,86.4,down,-86.4,1.0,0.0,On Track (Low Util),College
Tagalog,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,22.0,14.0,64.0,,63.6,,,0.0,0.0,On Track,Other
German 2,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,48.0,36.0,75.0,,75.0,,,0.0,0.0,On Track,Language
Linux,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,60.0,45.0,0.0,0.0,76.3,down,-76.3,1.0,0.0,On Track (Low Util),College
Expository Writing,18.0,1.0,22.0,-94.0,119.0,1800,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,417.0,320.0,33.0,33.3,78.0,down,-44.7,12.0,4.0,On Track (Low Util),College
Information Technology,4.0,1.0,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,85.0,65.0,76.0,,76.5,,,0.0,0.0,On Track,College
Computer Animation,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,31.0,27.0,87.0,,87.1,,,0.0,0.0,On Track,Other
Software,2.0,2.0,2.0,7.0,-1.0,93,False,15.0,False,,15.0,1.0,2.0,1.0,1.0,2.0,4.0,4.0,1.0,2.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,72.0,65.0,50.0,50.0,91.4,down,-41.4,2.0,1.0,On Track,College
Software Engineering,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,84.0,73.0,87.0,,86.9,,,0.0,0.0,On Track,Other
ISEE- Primary,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,41.0,35.0,0.0,0.0,89.7,down,-89.7,2.0,0.0,On Track (Low Util),Test Prep
GMAT Quantitative Reasoning,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,54.0,51.0,94.0,,94.4,,,0.0,0.0,On Track,Test Prep
Tableau,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,42.0,31.0,0.0,0.0,77.5,down,-77.5,2.0,0.0,On Track (Low Util),Technology
Medical Terminology,12.0,1.0,14.0,-92.0,77.0,1200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,194.0,146.0,17.0,16.7,79.1,down,-62.5,12.0,2.0,On Track (Low Util),College
Biomedical Engineering,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,45.0,37.0,100.0,100.0,81.0,up,19.0,3.0,3.0,On Track,College
Series 10,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,6.0,5.0,83.0,,83.3,,,0.0,0.0,On Track,Professional/Cert
Analytical Chemistry,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,86.0,75.0,87.0,,87.2,,,0.0,0.0,On Track,College
Heat Transfer,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,41.0,35.0,85.0,,85.4,,,0.0,0.0,On Track,College
Latin 4,1.0,2.0,1.0,100.0,-7.0,50,True,14.0,True,['Apr'],14.0,1.0,1.0,0.0,1.0,2.0,4.0,5.0,1.0,1.0,0.0,1.0,3.0,5.0,3.0,0.0,1.0,22.0,20.0,91.0,,90.9,,,0.0,0.0,True Supply Problem,Language
