Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,Problem_Type,Category,Tier
German 1,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,64.0,48.0,75.0,,75.0,,,0.0,0.0,On Track,Language,NICHE
ISEE- Middle Level,6.0,1.0,7.0,-83.0,35.0,600,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,146.0,120.0,71.0,71.4,84.0,down,-12.6,21.0,15.0,On Track,Test Prep,NICHE
PANCE,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,9.0,7.0,0.0,0.0,87.5,down,-87.5,1.0,0.0,Over-Supplied,Test Prep,NICHE
Environmental Science,4.0,1.0,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,165.0,139.0,50.0,50.0,84.7,down,-34.7,2.0,1.0,On Track,Other,NICHE
Blender,1.0,1.0,1.0,0.0,0.0,100,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,21.0,16.0,76.0,,76.2,,,0.0,0.0,On Track,Other,NICHE
Polish,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,9.0,7.0,78.0,,77.8,,,0.0,0.0,On Track,Language,NICHE
PMP,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,32.0,20.0,62.0,,62.5,,,0.0,0.0,On Track,Professional/Cert,NICHE
ARDMS - Sonography Principals and Instruments (SPI),1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,10.0,8.0,80.0,,80.0,,,0.0,0.0,On Track,Professional/Cert,NICHE
Data Analysis,4.0,1.0,5.0,-75.0,21.0,400,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,132.0,117.0,50.0,50.0,89.2,down,-39.2,2.0,1.0,On Track,College,NICHE
Computer Game Design,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,48.0,40.0,83.0,,83.3,,,0.0,0.0,On Track,Technology,NICHE
Discrete Math,3.0,1.0,4.0,-67.0,14.0,300,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,205.0,174.0,0.0,0.0,85.3,down,-85.3,1.0,0.0,Over-Supplied,College,NICHE
Physical Science,3.0,1.0,4.0,-52.0,11.0,210,False,10.0,True,['Apr'],10.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,,,,,,,0.0,1.0,238.0,201.0,100.0,100.0,84.4,up,15.6,1.0,1.0,On Track,High School,LOW
Data Structures,3.0,1.0,4.0,-67.0,14.0,300,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,144.0,119.0,0.0,0.0,83.2,down,-83.2,1.0,0.0,Over-Supplied,College,NICHE
Marketing,10.0,1.0,12.0,-90.0,63.0,1000,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,6.0,3.0,140.0,115.0,43.0,42.9,84.2,down,-41.4,7.0,3.0,Over-Supplied,College,NICHE
Latin 2,2.0,1.0,2.0,-43.0,6.0,175,False,8.0,False,,8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,1.0,47.0,34.0,67.0,66.7,72.7,down,-6.1,3.0,2.0,On Track,Language,NICHE
Pathophysiology,7.0,1.0,8.0,-86.0,42.0,700,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,109.0,85.0,29.0,28.6,81.4,down,-52.8,7.0,2.0,Over-Supplied,College,NICHE
FE - Mechanical Engineering,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,8.0,4.0,50.0,,50.0,,,0.0,0.0,On Track,Other,NICHE
Cell Biology,10.0,1.0,12.0,-90.0,63.0,1000,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,421.0,345.0,43.0,42.9,82.6,down,-39.8,7.0,3.0,Over-Supplied,College,NICHE
Grade 12 Physics,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,175.0,145.0,83.0,,82.9,,,0.0,0.0,On Track,High School,NICHE
GED Math,5.0,1.0,6.0,-89.0,31.0,875,False,4.0,False,,4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,1.0,395.0,327.0,75.0,75.0,83.0,down,-8.0,12.0,9.0,On Track,Test Prep,NICHE
PRAXIS Core Math,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,53.0,45.0,0.0,0.0,86.5,down,-86.5,1.0,0.0,Over-Supplied,Professional/Cert,NICHE
Ukrainian,1.0,2.0,1.0,71.0,-5.0,58,True,12.0,False,,12.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,,,,,,,,,1.0,10.0,9.0,90.0,,90.0,,,0.0,0.0,True Supply Problem,Language,LOW
Autodesk Revit,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,36.0,29.0,100.0,100.0,79.4,up,20.6,2.0,2.0,On Track,Technology,NICHE
High School Computer Science,9.0,1.0,11.0,-89.0,56.0,900,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,261.0,211.0,38.0,37.5,82.2,down,-44.7,8.0,3.0,Over-Supplied,High School,NICHE
ISEE- Upper Level,5.0,1.0,6.0,-80.0,28.0,500,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,131.0,107.0,74.0,73.7,83.0,down,-9.4,19.0,14.0,On Track,Test Prep,NICHE
Social Work,5.0,1.0,6.0,-80.0,28.0,500,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,6.0,2.0,102.0,79.0,14.0,14.3,82.1,down,-67.8,7.0,1.0,Over-Supplied,College,NICHE
College Business,11.0,1.0,13.0,-91.0,70.0,1100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,215.0,173.0,56.0,55.6,81.6,down,-26.0,9.0,5.0,On Track,College,NICHE
Machine Learning,5.0,1.0,6.0,-80.0,28.0,500,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,87.0,75.0,50.0,50.0,88.0,down,-38.0,4.0,2.0,On Track,College,NICHE
AP Physics C: Electricity and Magnetism,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,109.0,95.0,87.0,,87.2,,,0.0,0.0,On Track,AP,NICHE
Philosophy,4.0,1.0,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,110.0,79.0,20.0,20.0,74.3,down,-54.3,5.0,1.0,Over-Supplied,College,NICHE
Singing,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,87.0,69.0,79.0,,79.3,,,0.0,0.0,On Track,Arts & Music,NICHE
GRE Quantitative,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,135.0,120.0,89.0,,88.9,,,0.0,0.0,On Track,Test Prep,NICHE
HESI,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,24.0,20.0,83.0,,83.3,,,0.0,0.0,On Track,Other,NICHE
CPA REG,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,33.0,30.0,91.0,,90.9,,,0.0,0.0,On Track,Professional/Cert,NICHE
Video Game Design,2.0,2.0,2.0,-21.0,3.0,127,False,11.0,False,,11.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,,1.0,41.0,33.0,80.0,,80.5,,,0.0,0.0,On Track,Technology,LOW
High School Economics,6.0,2.0,7.0,-67.0,28.0,300,False,14.0,False,,14.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,,,,,,,,,1.0,276.0,220.0,57.0,57.1,80.3,down,-23.2,7.0,4.0,On Track,High School,LOW
SQL,6.0,1.0,7.0,-83.0,35.0,600,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,177.0,142.0,56.0,55.6,81.5,down,-26.0,9.0,5.0,On Track,College,NICHE
MAP,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,24.0,18.0,75.0,,75.0,,,0.0,0.0,On Track,Test Prep,NICHE
Graphic Design,11.0,1.0,13.0,-91.0,70.0,1100,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,4.0,3.0,123.0,88.0,38.0,37.5,73.9,down,-36.4,8.0,3.0,Over-Supplied,Arts & Music,NICHE
TOEFL,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,66.0,53.0,80.0,,80.3,,,0.0,0.0,On Track,Other,NICHE
Contract Law,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,51.0,38.0,50.0,50.0,75.5,down,-25.5,2.0,1.0,On Track,College,NICHE
Animation,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,36.0,27.0,75.0,,75.0,,,0.0,0.0,On Track,Arts & Music,NICHE
Autodesk Fusion 360,1.0,1.0,1.0,43.0,-3.0,70,True,10.0,True,['Apr'],10.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,,,,1.0,1.0,23.0,19.0,0.0,0.0,86.4,down,-86.4,1.0,0.0,Under-Used,Technology,LOW
Finite Mathematics,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,141.0,120.0,100.0,100.0,85.0,up,15.0,1.0,1.0,On Track,College,NICHE
IB French,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,38.0,29.0,100.0,100.0,75.7,up,24.3,1.0,1.0,On Track,IB,NICHE
Data Science,7.0,1.0,8.0,-86.0,42.0,700,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,120.0,96.0,50.0,50.0,82.1,down,-32.1,8.0,4.0,On Track,College,NICHE
Project Management/PMP,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,65.0,46.0,71.0,,70.8,,,0.0,0.0,On Track,Professional/Cert,NICHE
Microsoft Word,11.0,1.0,13.0,-87.0,67.0,770,False,10.0,False,,10.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,1.0,303.0,234.0,50.0,50.0,77.6,down,-27.6,4.0,2.0,On Track,Technology,LOW
Sociology,4.0,1.0,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,182.0,150.0,100.0,100.0,82.3,up,17.7,1.0,1.0,On Track,College,NICHE
Neuroscience,6.0,1.0,7.0,-83.0,35.0,600,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,144.0,108.0,33.0,33.3,75.9,down,-42.6,3.0,1.0,Over-Supplied,College,NICHE
Algorithms,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,100.0,82.0,0.0,0.0,82.8,down,-82.8,1.0,0.0,Over-Supplied,College,NICHE
Civil Engineering,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,51.0,41.0,100.0,100.0,80.0,up,20.0,1.0,1.0,On Track,College,NICHE
Voice,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,79.0,62.0,78.0,,78.5,,,0.0,0.0,On Track,Arts & Music,NICHE
R Programming,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,59.0,48.0,0.0,0.0,82.8,down,-82.8,1.0,0.0,Over-Supplied,College,NICHE
Public Health,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,91.0,68.0,75.0,,74.7,,,0.0,0.0,On Track,College,NICHE
Algebra Regents,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,127.0,100.0,79.0,,78.7,,,0.0,0.0,On Track,Test Prep,NICHE
Biostatistics,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,107.0,89.0,0.0,0.0,84.0,down,-84.0,1.0,0.0,Over-Supplied,College,NICHE
Web Development,4.0,1.0,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,95.0,81.0,100.0,100.0,85.1,up,14.9,1.0,1.0,On Track,College,NICHE
Logic,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,81.0,61.0,75.0,,75.3,,,0.0,0.0,On Track,College,NICHE
Physics 11,1.0,2.0,1.0,86.0,-6.0,54,True,13.0,False,,13.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,,,,,,,,,1.0,106.0,90.0,85.0,,84.9,,,0.0,0.0,True Supply Problem,Other,LOW
Web Design,4.0,1.0,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,108.0,89.0,50.0,50.0,83.0,down,-33.0,2.0,1.0,On Track,College,NICHE
Molecular Biology,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,219.0,183.0,84.0,,83.6,,,0.0,0.0,On Track,College,NICHE
Personal Finance,3.0,1.0,4.0,-67.0,14.0,300,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,146.0,118.0,81.0,,80.8,,,0.0,0.0,On Track,College,NICHE
Chemical Engineering,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,43.0,38.0,88.0,,88.4,,,0.0,0.0,On Track,College,NICHE
Photoshop,7.0,1.0,8.0,-86.0,42.0,700,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,103.0,75.0,40.0,40.0,74.5,down,-34.5,5.0,2.0,Over-Supplied,Arts & Music,NICHE
Fluid Mechanics,1.0,1.0,1.0,0.0,0.0,100,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,71.0,60.0,0.0,0.0,87.0,down,-87.0,2.0,0.0,Over-Supplied,College,NICHE
Minecraft,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,71.0,65.0,100.0,100.0,91.4,up,8.6,1.0,1.0,On Track,Technology,NICHE
Econometrics,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,42.0,34.0,0.0,0.0,82.9,down,-82.9,1.0,0.0,Over-Supplied,College,NICHE
PSAT Mathematics,3.0,1.0,4.0,-67.0,14.0,300,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,523.0,455.0,100.0,100.0,87.0,up,13.0,1.0,1.0,On Track,Test Prep,NICHE
ANCC - Family Nurse Practitioner Certification (FNP),1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,7.0,6.0,86.0,,85.7,,,0.0,0.0,On Track,Professional/Cert,NICHE
Enrichment,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,58.0,49.0,84.0,,84.5,,,0.0,0.0,On Track,Other,NICHE
MCAT Chemical and Physical Foundations of Biological Systems,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,76.0,64.0,75.0,75.0,84.7,down,-9.7,4.0,3.0,On Track,Test Prep,NICHE
HTML,4.0,1.0,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,136.0,115.0,25.0,25.0,86.4,down,-61.4,4.0,1.0,Over-Supplied,College,NICHE
Roblox,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,43.0,36.0,100.0,100.0,82.9,up,17.1,2.0,2.0,On Track,Technology,NICHE
Legal Writing,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,58.0,41.0,0.0,0.0,77.4,down,-77.4,5.0,0.0,Over-Supplied,College,NICHE
ARDMS - RDMS - Obstetrics and Gynecology (OB/GYN),1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,7.0,5.0,71.0,,71.4,,,0.0,0.0,On Track,Professional/Cert,NICHE
College Political Science,4.0,1.0,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,93.0,70.0,33.0,33.3,76.7,down,-43.3,3.0,1.0,Over-Supplied,College,NICHE
ACT Science,4.0,1.0,5.0,-75.0,21.0,400,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,2.0,326.0,279.0,100.0,100.0,85.5,up,14.5,2.0,2.0,On Track,Test Prep,NICHE
AP Research,4.0,1.0,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,132.0,106.0,0.0,0.0,83.5,down,-83.5,5.0,0.0,Over-Supplied,AP,NICHE
Microsoft Power BI,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.0,54.0,44.0,0.0,0.0,84.6,down,-84.6,2.0,0.0,Over-Supplied,Technology,NICHE
LSAT Logical Reasoning,4.0,1.0,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,99.0,78.0,75.0,75.0,78.9,down,-3.9,4.0,3.0,On Track,Test Prep,NICHE
C#,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,62.0,55.0,89.0,,88.7,,,0.0,0.0,On Track,Other,NICHE
Aerospace Engineering,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,41.0,33.0,0.0,0.0,82.5,down,-82.5,1.0,0.0,Over-Supplied,College,NICHE
Astronomy,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,45.0,38.0,0.0,0.0,88.4,down,-88.4,2.0,0.0,Over-Supplied,Other,NICHE
MATLAB,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,75.0,54.0,72.0,,72.0,,,0.0,0.0,On Track,College,NICHE
