Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,P90_NAT_Hours,Problem_Type,Category,Tier
Neuroscience,6.0,1,7.0,-83.0,35.0,600,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,146.0,109.0,25.0,25.0,76.1,down,-51.1,4.0,1.0,115.01666,Under-Used,College,NICHE
Algorithms,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,99.0,82.0,0.0,0.0,83.7,down,-83.7,1.0,0.0,24.0,Under-Used,College,NICHE
Civil Engineering,2.0,1,2.0,-50.0,7.0,200,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,50.0,40.0,100.0,100.0,79.6,up,20.4,1.0,1.0,72.376663,On Track,College,NICHE
Voice,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,79.0,62.0,78.0,,78.5,,,0.0,0.0,32.485,On Track,Arts & Music,NICHE
R Programming,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,60.0,49.0,0.0,0.0,83.1,down,-83.1,1.0,0.0,,Over-Supplied,College,NICHE
Public Health,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,91.0,68.0,75.0,,74.7,,,0.0,0.0,36.13666,On Track,College,NICHE
Algebra Regents,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,127.0,101.0,80.0,,79.5,,,0.0,0.0,24.0,On Track,Test Prep,NICHE
Biostatistics,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,109.0,90.0,0.0,0.0,83.3,down,-83.3,1.0,0.0,2.18333,Over-Supplied,College,NICHE
Web Development,4.0,1,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,95.0,81.0,100.0,100.0,85.1,up,14.9,1.0,1.0,52.88,On Track,College,NICHE
Logic,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,81.0,61.0,75.0,,75.3,,,0.0,0.0,28.919994,On Track,College,NICHE
Physics 11,1.0,2,1.0,86.0,-6.0,54,True,13.0,False,,13.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,,,,,,,,,1.0,106.0,90.0,85.0,,84.9,,,0.0,0.0,53.039996,True Supply Problem,Other,LOW
Web Design,4.0,1,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,108.0,89.0,100.0,100.0,82.2,up,17.8,1.0,1.0,,On Track,College,NICHE
Molecular Biology,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,220.0,184.0,84.0,,83.6,,,0.0,0.0,,On Track,College,NICHE
Personal Finance,3.0,1,4.0,-67.0,14.0,300,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,144.0,117.0,81.0,,81.2,,,0.0,0.0,99.58333,On Track,College,NICHE
Chemical Engineering,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,43.0,38.0,88.0,,88.4,,,0.0,0.0,18.33333,On Track,College,NICHE
Photoshop,7.0,1,8.0,-86.0,42.0,700,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,102.0,75.0,50.0,50.0,74.5,down,-24.5,4.0,2.0,10.38333,On Track,Arts & Music,NICHE
Fluid Mechanics,1.0,1,1.0,0.0,0.0,100,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,71.0,60.0,0.0,0.0,87.0,down,-87.0,2.0,0.0,24.35833,Under-Used,College,NICHE
Minecraft,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,72.0,66.0,100.0,100.0,91.5,up,8.5,1.0,1.0,6.0,On Track,Technology,NICHE
Econometrics,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,42.0,34.0,0.0,0.0,82.9,down,-82.9,1.0,0.0,1.96666,Over-Supplied,College,NICHE
PSAT Mathematics,3.0,1,4.0,-67.0,14.0,300,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,526.0,458.0,100.0,100.0,87.0,up,13.0,1.0,1.0,34.29833,On Track,Test Prep,NICHE
ANCC - Family Nurse Practitioner Certification (FNP),1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,7.0,6.0,86.0,,85.7,,,0.0,0.0,0.08333,On Track,Professional/Cert,NICHE
Enrichment,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,58.0,49.0,84.0,,84.5,,,0.0,0.0,50.68333,On Track,Other,NICHE
MCAT Chemical and Physical Foundations of Biological Systems,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,76.0,64.0,75.0,75.0,84.7,down,-9.7,4.0,3.0,19.24,On Track,Test Prep,NICHE
HTML,4.0,1,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,138.0,116.0,25.0,25.0,85.8,down,-60.8,4.0,1.0,,Over-Supplied,College,NICHE
Roblox,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,44.0,37.0,100.0,100.0,83.3,up,16.7,2.0,2.0,71.869994,On Track,Technology,NICHE
Legal Writing,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,58.0,41.0,0.0,0.0,77.4,down,-77.4,5.0,0.0,23.026666,Over-Supplied,College,NICHE
ARDMS - RDMS - Obstetrics and Gynecology (OB/GYN),1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,7.0,5.0,71.0,,71.4,,,0.0,0.0,0.3,On Track,Professional/Cert,NICHE
College Political Science,4.0,1,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,94.0,71.0,33.0,33.3,76.9,down,-43.6,3.0,1.0,17.3,Over-Supplied,College,NICHE
ACT Science,4.0,1,5.0,-75.0,21.0,400,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,2.0,326.0,279.0,100.0,100.0,85.5,up,14.5,2.0,2.0,55.789996,On Track,Test Prep,NICHE
AP Research,4.0,1,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,132.0,106.0,0.0,0.0,83.5,down,-83.5,5.0,0.0,17.27666,Over-Supplied,AP,NICHE
Microsoft Power BI,2.0,1,2.0,-50.0,7.0,200,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.0,53.0,44.0,0.0,0.0,86.3,down,-86.3,2.0,0.0,85.833331,Under-Used,Technology,NICHE
LSAT Logical Reasoning,4.0,1,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,98.0,77.0,75.0,75.0,78.7,down,-3.7,4.0,3.0,6.03166,On Track,Test Prep,NICHE
C#,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,62.0,55.0,89.0,,88.7,,,0.0,0.0,,On Track,Other,NICHE
Aerospace Engineering,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,40.0,32.0,0.0,0.0,82.1,down,-82.1,1.0,0.0,40.71166,Under-Used,College,NICHE
Astronomy,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,45.0,38.0,0.0,0.0,88.4,down,-88.4,2.0,0.0,106.58333,Under-Used,Other,NICHE
MATLAB,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,77.0,56.0,73.0,,72.7,,,0.0,0.0,38.686666,On Track,College,NICHE
Photography,2.0,1,2.0,-50.0,7.0,200,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.0,56.0,39.0,70.0,,69.6,,,0.0,0.0,1.05,On Track,Arts & Music,NICHE
Hebrew,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,17.0,11.0,65.0,,64.7,,,0.0,0.0,67.593328,On Track,Language,NICHE
Electronics,1.0,1,1.0,43.0,-3.0,70,True,10.0,False,,10.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,0.0,1.0,42.0,36.0,86.0,,85.7,,,0.0,0.0,10.101666,True Supply Problem,Other,LOW
Inorganic Chemistry,2.0,1,2.0,-43.0,6.0,175,False,8.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,1.0,1.0,78.0,66.0,100.0,100.0,84.2,up,15.8,2.0,2.0,23.33333,On Track,College,NICHE
Architecture,2.0,1,2.0,-50.0,7.0,200,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,33.0,25.0,75.0,75.0,75.9,flat,-0.9,4.0,3.0,39.06666,On Track,Other,NICHE
CPCE,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,10.0,9.0,90.0,,90.0,,,0.0,0.0,54.31666,On Track,Other,NICHE
Civil Procedure,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,28.0,20.0,100.0,100.0,70.4,up,29.6,1.0,1.0,21.87833,On Track,College,NICHE
Painting,6.0,1,7.0,-83.0,35.0,600,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,134.0,98.0,44.0,44.4,75.2,down,-30.8,9.0,4.0,,Over-Supplied,Arts & Music,NICHE
Managerial Economics,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,44.0,37.0,0.0,0.0,86.0,down,-86.0,1.0,0.0,13.55,Over-Supplied,College,NICHE
Tagalog,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,22.0,14.0,64.0,,63.6,,,0.0,0.0,15.16666,On Track,Other,NICHE
German 2,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,48.0,37.0,77.0,,77.1,,,0.0,0.0,0.78333,On Track,Language,NICHE
Linux,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,64.0,48.0,0.0,0.0,76.2,down,-76.2,1.0,0.0,4.071663,Over-Supplied,College,NICHE
Expository Writing,18.0,1,22.0,-94.0,119.0,1800,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,419.0,323.0,42.0,41.7,78.1,down,-36.5,12.0,5.0,15.679996,Over-Supplied,College,NICHE
Information Technology,4.0,1,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,87.0,66.0,76.0,,75.9,,,0.0,0.0,65.1,On Track,College,NICHE
Computer Animation,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,33.0,28.0,85.0,,84.8,,,0.0,0.0,70.656664,On Track,Other,NICHE
Software,2.0,2,2.0,7.0,-1.0,93,False,15.0,False,,15.0,1.0,2.0,1.0,1.0,2.0,4.0,4.0,1.0,2.0,1.0,1.0,3.0,4.0,3.0,,,,,,,,1.0,1.0,74.0,67.0,50.0,50.0,91.7,down,-41.7,2.0,1.0,93.05,On Track,College,LOW
Software Engineering,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,84.0,73.0,87.0,,86.9,,,0.0,0.0,20.036664,On Track,Other,NICHE
ISEE- Primary,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,41.0,35.0,0.0,0.0,89.7,down,-89.7,2.0,0.0,,Over-Supplied,Test Prep,NICHE
GMAT Quantitative Reasoning,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,53.0,50.0,94.0,,94.3,,,0.0,0.0,0.65,On Track,Test Prep,NICHE
Tableau,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,43.0,33.0,0.0,0.0,80.5,down,-80.5,2.0,0.0,42.799999,Under-Used,Technology,NICHE
Medical Terminology,12.0,1,14.0,-92.0,77.0,1200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,196.0,146.0,17.0,16.7,78.3,down,-61.6,12.0,2.0,11.6,Over-Supplied,College,NICHE
Biomedical Engineering,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,47.0,38.0,100.0,100.0,79.5,up,20.5,3.0,3.0,32.443328,On Track,College,NICHE
Series 10,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,6.0,5.0,83.0,,83.3,,,0.0,0.0,,On Track,Professional/Cert,NICHE
Analytical Chemistry,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,87.0,75.0,86.0,,86.2,,,0.0,0.0,15.844997,On Track,College,NICHE
Heat Transfer,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,41.0,35.0,85.0,,85.4,,,0.0,0.0,40.146664,On Track,College,NICHE
Latin 4,1.0,2,1.0,100.0,-7.0,50,True,14.0,True,['Apr'],14.0,1.0,1.0,0.0,1.0,2.0,4.0,5.0,1.0,1.0,0.0,1.0,3.0,5.0,3.0,1.0,,,,,,,0.0,1.0,21.0,19.0,90.0,,90.5,,,0.0,0.0,,True Supply Problem,Language,LOW
High School Geography,3.0,1,4.0,-67.0,14.0,300,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,80.0,55.0,25.0,25.0,71.1,down,-46.1,4.0,1.0,8.47333,Over-Supplied,High School,NICHE
Police Officer Exam,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,16.0,11.0,0.0,0.0,73.3,down,-73.3,1.0,0.0,13.61666,Over-Supplied,Professional/Cert,NICHE
Series 24,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,3.0,2.0,67.0,,66.7,,,0.0,0.0,49.11666,On Track,Professional/Cert,NICHE
High School Government,18.0,1,22.0,-94.0,119.0,1800,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,376.0,278.0,53.0,52.9,74.9,down,-22.0,17.0,9.0,,On Track,High School,NICHE
Materials Science,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,41.0,34.0,83.0,,82.9,,,0.0,0.0,1.141666,On Track,College,NICHE
Criminal Law,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,56.0,44.0,100.0,100.0,78.2,up,21.8,1.0,1.0,24.0,On Track,College,NICHE
AP Seminar,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,58.0,52.0,90.0,,89.7,,,0.0,0.0,15.253328,On Track,AP,NICHE
Biomechanics,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,40.0,32.0,80.0,,80.0,,,0.0,0.0,35.19666,On Track,College,NICHE
Quantum Physics,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,69.0,57.0,83.0,,82.6,,,0.0,0.0,19.0,On Track,College,NICHE
UNITY,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,10.0,6.0,60.0,,60.0,,,0.0,0.0,,On Track,Other,NICHE
Kinesiology,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,61.0,51.0,50.0,50.0,84.7,down,-34.7,2.0,1.0,2.58333,On Track,College,NICHE
International Business,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,61.0,51.0,84.0,,83.6,,,0.0,0.0,,On Track,College,NICHE
Nutrition,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,138.0,113.0,82.0,,81.9,,,0.0,0.0,64.98333,On Track,College,NICHE
Data Management,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,98.0,79.0,0.0,0.0,82.3,down,-82.3,2.0,0.0,,Over-Supplied,College,NICHE
IB Language A: Language and Literature,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,21.0,19.0,90.0,,90.5,,,0.0,0.0,336.96666,On Track,IB,NICHE
Agricultural Science,2.0,1,2.0,-36.0,5.0,156,False,9.0,True,['Apr'],9.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,1.0,56.0,48.0,86.0,,85.7,,,0.0,0.0,65.64333,On Track,College,NICHE
Real Analysis,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,64.0,50.0,78.0,,78.1,,,0.0,0.0,84.86666,On Track,College,NICHE
Operating Systems,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,59.0,48.0,0.0,0.0,82.8,down,-82.8,1.0,0.0,24.0,Under-Used,College,NICHE
Ethics,4.0,1,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,116.0,94.0,81.0,,81.0,,,0.0,0.0,,On Track,College,NICHE
Discrete Structures,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,50.0,45.0,90.0,,90.0,,,0.0,0.0,121.53333,On Track,College,NICHE
Autodesk Maya,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,12.0,7.0,58.0,,58.3,,,0.0,0.0,18.36666,On Track,Technology,NICHE
Supply Chain Management,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,47.0,39.0,0.0,0.0,84.8,down,-84.8,1.0,0.0,12.53333,Over-Supplied,College,NICHE
IB Business & Management,3.0,1,4.0,-67.0,14.0,300,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,58.0,52.0,67.0,66.7,90.9,down,-24.2,3.0,2.0,68.386664,On Track,IB,NICHE
