Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,P90_NAT_Hours,Tutor_Hours_Util_Pct,Category,Tier,P90_Goal,Primary_Action,Stress_Flags,Problem_Type
Executive Functioning,15.0,8,18.0,-46.0,48.0,184,False,57.0,True,['Apr'],53.0,9.0,7.0,5.0,5.0,7.0,9.0,11.0,13.0,7.0,5.0,5.0,7.0,9.0,11.0,13.0,,,,,,,9.0,5.0,429.0,331.0,45.0,45.0,78.7,down,-33.7,20.0,9.0,37.301661,0.5208893254330709,Other,MEDIUM,48,On Track,['idle_pool'],On Track
High School Biology,36.0,10,43.0,-72.0,182.0,360,False,70.0,True,['Apr'],70.0,9.0,8.0,7.0,7.0,10.0,13.0,16.0,9.0,8.0,7.0,7.0,10.0,13.0,16.0,9.0,,,,,,,31.0,2.0,969.0,714.0,51.0,50.9,75.1,down,-24.2,57.0,29.0,24.879997,0.4209350902542879,High School,MEDIUM,48,On Track,['idle_pool'],On Track
Statistics,12.0,12,14.0,1.0,-1.0,99,False,85.0,True,['Apr'],83.0,9.0,9.0,8.0,8.0,12.0,17.0,20.0,11.0,9.0,8.0,8.0,16.0,17.0,16.0,11.0,,,,,,,12.0,9.0,584.0,495.0,78.0,77.8,85.0,down,-7.2,18.0,14.0,23.133332,0.4529386522901897,College,HIGH,36,On Track,['idle_pool'],On Track
High School Physics,12.0,10,14.0,-15.0,13.0,118,False,71.0,True,['Apr'],70.0,8.0,7.0,6.0,7.0,10.0,14.0,18.0,9.0,7.0,6.0,7.0,14.0,14.0,14.0,9.0,,,,,,,6.0,2.0,730.0,601.0,83.0,83.3,82.3,flat,1.0,6.0,5.0,29.319994,0.4311394948583903,High School,MEDIUM,48,On Track,['idle_pool'],On Track
College Application Essays,35.0,8,42.0,-76.0,186.0,415,False,59.0,False,,59.0,8.0,8.0,7.0,8.0,8.0,10.0,10.0,8.0,8.0,7.0,8.0,8.0,10.0,10.0,,,,,,,,27.0,1.0,667.0,505.0,38.0,37.5,78.1,down,-40.6,40.0,15.0,33.88333,0.4402293117296773,College,MEDIUM,48,On Track,['idle_pool'],On Track
Elementary School Writing,107.0,8,128.0,-92.0,692.0,1314,False,57.0,True,['Apr'],50.0,7.0,6.0,5.0,5.0,6.0,9.0,12.0,14.0,6.0,5.0,5.0,6.0,9.0,12.0,14.0,,,,,,,,8.0,2577.0,1837.0,45.0,44.8,72.6,down,-27.8,125.0,56.0,40.57,0.435554716323169,Elementary,MEDIUM,48,On Track,['idle_pool'],On Track
AP Chemistry,12.0,7,14.0,-40.0,34.0,168,False,50.0,True,['Apr'],49.0,7.0,5.0,5.0,5.0,7.0,9.0,11.0,8.0,5.0,5.0,5.0,7.0,9.0,11.0,8.0,,,,,,,8.0,7.0,486.0,390.0,69.0,69.2,80.5,down,-11.3,13.0,9.0,42.3,0.4349401671008075,AP,MEDIUM,48,On Track,['idle_pool'],On Track
Middle School Science,60.0,6,72.0,-89.0,375.0,933,False,45.0,True,['Apr'],45.0,7.0,5.0,4.0,5.0,6.0,8.0,10.0,7.0,5.0,4.0,5.0,6.0,8.0,10.0,7.0,,,,,,,,10.0,1484.0,1089.0,48.0,48.0,75.3,down,-27.2,102.0,49.0,41.56666,0.4456914003553637,Middle School,MEDIUM,48,On Track,['idle_pool'],On Track
College Biology,19.0,8,23.0,-56.0,75.0,229,False,58.0,True,['Apr'],57.0,7.0,7.0,7.0,7.0,9.0,10.0,10.0,8.0,7.0,7.0,7.0,9.0,10.0,10.0,8.0,,,,,,,11.0,5.0,543.0,417.0,63.0,63.2,77.3,down,-14.1,19.0,12.0,25.7,0.4218830894495413,College,MEDIUM,48,On Track,['idle_pool'],On Track
LSAT,4.0,9,5.0,132.0,-37.0,43,True,65.0,True,['Apr'],61.0,6.0,7.0,9.0,10.0,10.0,10.0,9.0,10.0,8.0,10.0,8.0,9.0,11.0,9.0,10.0,,,,,,,2.0,22.0,100.0,78.0,100.0,100.0,77.3,up,22.7,3.0,3.0,24.0,0.497338879857079,Test Prep,MEDIUM,48,Investigate — Capacity Available,['idle_pool'],Under-Used
